Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория;Column1
R16 225/55 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363743/;11.10.2023;138.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=225|Высота шины=55|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363743_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363743_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363743_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363743_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363743_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363743_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363743_7.jpg;Шины;
R16 225/60 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363749/;11.10.2023;129.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=225|Высота шины=60|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363749_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_8.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363749_9.jpg;Шины;
R16 225/65 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363752/;11.10.2023;141.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=225|Высота шины=65|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363752_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363752_8.jpg;Шины;
R16 225/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363754/;11.10.2023;136.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=225|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363754_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363754_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363754_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363754_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363754_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363754_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363754_7.jpg;Шины;
R16 225/75 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363801/;16.10.2023;136.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=225|Высота шины=75|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363801_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_8.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_9.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_10.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363801_11.jpg;Шины;
R16 235/60 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363756/;16.10.2023;141.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=235|Высота шины=60|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363756_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363756_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363756_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363756_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363756_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363756_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363756_7.jpg;Шины;
R16 235/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363759/;11.10.2023;138.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=235|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363759_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363759_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363759_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363759_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363759_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363759_6.jpg;Шины;
R16 245/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363812/;16.10.2023;143.00;995577949438;;Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=245|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363812_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363812_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363812_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363812_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363812_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363812_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363812_7.jpg;Шины;
R16 245/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363761/;11.10.2023;118.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=245|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363761_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363761_8.jpg;Шины;
R16 245/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363762/;11.10.2023;138.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=245|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363762_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363762_8.jpg;Шины;
R16 245/75 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363823/;16.10.2023;150.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=245|Высота шины=75|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363823_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_8.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_9.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_10.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_11.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363823_12.jpg;Шины;
R16 255/65 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363825/;16.10.2023;154.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=255|Высота шины=65|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363825_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363825_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363825_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363825_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363825_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363825_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363825_7.jpg;Шины;
R16 255/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363827/;16.10.2023;143.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=255|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363827_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363827_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363827_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363827_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363827_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363827_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363827_7.jpg;Шины;
R16 265/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363782/;11.10.2023;161.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=265|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363782_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363782_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363782_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363782_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363782_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363782_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363782_7.jpg;Шины;
R16 265/75 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363829/;16.10.2023;139.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=265|Высота шины=75|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363829_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363829_8.jpg;Шины;
R16 275/70 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363830/;16.10.2023;138.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=275|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363830_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_8.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_9.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363830_10.jpg;Шины;
R16 295/65 Зимние;royal motors;https://www.myparts.ge/ru/pr/12363806/;16.10.2023;142.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=16|Ширина шины=295|Высота шины=65|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1011/12363806_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_4.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_5.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_6.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_7.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_8.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_9.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363806_10.jpg;Шины;
R17 205/40 Зимние;royal motors;https://www.myparts.ge/ru/pr/12358927/;04.10.2023;150.00;995577949438;;Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=40|Сезон=Зимние|Состояние=Новые;;Шины;
R17 205/40 Зимние;royal motors;https://www.myparts.ge/ru/pr/12364194/;16.10.2023;115.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=40|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1012/12364194_1.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_2.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_3.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_4.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_5.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_6.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_7.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364194_8.jpg;Шины;
R17 205/45 Зимние;royal motors;https://www.myparts.ge/ru/pr/12358937/;04.10.2023;160.00;995577949438;;Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=45|Сезон=Зимние|Состояние=Новые;;Шины;
R17 205/45 Зимние;royal motors;https://www.myparts.ge/ru/pr/12364197/;16.10.2023;121.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=45|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1012/12364197_1.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364197_2.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364197_3.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364197_4.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364197_5.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364197_6.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364197_7.jpg;Шины;
R17 205/50 Зимние;royal motors;https://www.myparts.ge/ru/pr/12364216/;16.10.2023;117.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=50|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1012/12364216_1.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364216_2.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364216_3.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364216_4.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364216_5.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364216_6.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364216_7.jpg;Шины;
R17 205/55 Зимние;royal motors;https://www.myparts.ge/ru/pr/12358942/;04.10.2023;149.00;995577949438;;Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=55|Сезон=Зимние|Состояние=Новые;;Шины;
R17 205/55 Зимние;royal motors;https://www.myparts.ge/ru/pr/12364219/;16.10.2023;121.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=205|Высота шины=55|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1012/12364219_1.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_2.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_3.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_4.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_5.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_6.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_7.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_8.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364219_9.jpg;Шины;
R17 215/40 Зимние;royal motors;https://www.myparts.ge/ru/pr/12364220/;16.10.2023;117.00;995577949438;"გთავაზობთ ევროპული სტანდარტებით დამზადებული საბურავების ფართო ასორტიმენტს; ✅სირბილე ; ✅მაღალი გამავლობა ; ✅კარგი მოჭიდების უნარი ; ✅ხმაურის დაბალი კოეფიციენტი; ✅დეფიციტური ზომების დიდი არჩევანი; ✅Зимние, ✅Летние-Всесезонные; მსუბუქი მანქანის;M/T ;A/T ;C კატეგორიის საბურავები;";Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=215|Высота шины=40|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1012/12364220_1.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364220_2.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364220_3.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364220_4.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364220_5.jpg,https://static.my.ge/myparts/photos/thumbs/1012/12364220_6.jpg;Шины;
R17 215/45 Зимние;royal motors;https://www.myparts.ge/ru/pr/12358947/;04.10.2023;157.00;995577949438;;Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=215|Высота шины=45|Сезон=Зимние|Состояние=Новые;;Шины;
R17 215/45 Зимние;royal motors;https://www.myparts.ge/ru/pr/12358955/;04.10.2023;165.00;995577949438;;Тбилиси;Тбилиси;Диаметр (R)=17|Ширина шины=215|Высота шины=45|Сезон=Зимние|Состояние=Новые;;Шины;
