Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория
R16 MERCEDES-BENZ E 210 1991-2021;ნიკა;https://www.myparts.ge/ru/pr/12358829/;15.12.2023;650;995595280210;უსვარკი უსწორებელი დისკები თავისი მიშელინის საბურავებით;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=7.5|Диаметр (R)=16|Ширина шины=205|Высота шины=55|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12358829_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358829_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358829_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358829_4.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358829_5.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358829_6.jpg;Диски и шины в комплекте
R16 BMW 320 1993-2021;ნიკა;https://www.myparts.ge/ru/pr/12358831/;15.12.2023;500;995595280210;უსვარკი უსწორებელი დისკები თავისი ზამთრის საბურავებით;Грузия;Тбилиси;Диаметр (R)=16|Ширина шины=205|Высота шины=55|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12358831_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358831_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358831_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358831_4.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358831_5.jpg;Диски и шины в комплекте
R16 MERCEDES-BENZ C 270 2003-2005;გიორგი;https://www.myparts.ge/ru/pr/12358840/;15.12.2023;300;995599621985;ც კლასის დისკები საბურავებით;Грузия;Кутаиси;Диаметр расположения крепежных отверстий (PCD)=4 X 100|Ширина (J)=7|Диаметр (R)=16|Ширина шины=155|Высота шины=55|Вылет (ET)=35 N|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12358840_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358840_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358840_3.jpg;Диски и шины в комплекте
R18 LEXUS RX 350 2016-2019;დავითი;https://www.myparts.ge/ru/pr/12358847/;15.12.2023;1623.12;995558944588;იყიდება;Грузия;Батуми;Диаметр расположения крепежных отверстий (PCD)=5 X 114.3|Диаметр (R)=18|Ширина шины=235|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12358847_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358847_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358847_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358847_4.jpg;Диски и шины в комплекте
R19 LAND ROVER Range Rover Velar 2019-2023;რიჩი;https://www.myparts.ge/ru/pr/12358857/;15.12.2023;12;995550050608;დისკი მიდის range rover velari evouqi fordi sitroen peguot jaguar 5X108 გადახვრეტა;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 108|Диаметр (R)=19|Ширина шины=255|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12358857_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358857_2.jpg;Диски и шины в комплекте
R15 ISUZU Rodeo 2000-2013;გიორგი;https://www.myparts.ge/ru/pr/12358888/;15.12.2023;180;995598838228;იაპონური მეორადი 2 ცალი საბურავი მაქვს ზამთრის კარგ მდგომარეობაში;Грузия;Ткибули;Диаметр (R)=15|Ширина шины=265|Высота шины=70|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12358888_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358888_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12358888_3.jpg;Диски и шины в комплекте
R17 BMW 525 1984-2022;Saburavebi;https://www.myparts.ge/ru/pr/12359030/;15.12.2023;550;995577161715;უსვარკი უსწორებელი დისკი;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=8|Диаметр (R)=17|Ширина шины=225|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12359030_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359030_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359030_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359030_4.jpg;Диски и шины в комплекте
R17 FORD Fusion 2014-2018;მ;https://www.myparts.ge/ru/pr/12359119/;15.12.2023;500;995500500825;იყიდება საბურავების ფასად და შესაბამისად არ დააკლდება საბურავები მინიმუმ 70% ტექ დათვალიერება გავლილი აქვს არც გასწორებულია არც დანადუღები;Грузия;Тбилиси;Диаметр (R)=17|Ширина шины=225|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12359119_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_4.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_5.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_6.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_7.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_8.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_9.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_10.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_11.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359119_12.jpg;Диски и шины в комплекте
R16 NISSAN Rogue 2018-2023;ლუკა;https://www.myparts.ge/ru/pr/12359135/;15.12.2023;150;995551909292;კარგი მეორადი საბურავები -დისკი-საბიურავი-კალბაკი (კომპლექტში) ცალის ფასი 150 ლარი.;Грузия;Тбилиси;Диаметр (R)=16|Ширина шины=215|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12359135_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359135_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359135_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359135_4.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359135_5.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359135_6.jpg;Диски и шины в комплекте
R16 HYUNDAI Elantra 2020-2023;მახო;https://www.myparts.ge/ru/pr/12359143/;15.12.2023;200;995593444754;იყიდება დისკები ,,ცალობაში...;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=3 X 100|Ширина (J)=7.5|Диаметр (R)=16|Ширина шины=195|Высота шины=50|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12359143_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359143_2.jpg;Диски и шины в комплекте
R16 CHEVROLET Cruze 2016-2023;ვ;https://www.myparts.ge/ru/pr/12359260/;15.12.2023;400;995555361193;მსუბუქი ალუმინის დისკი საბურავით;Грузия;Кутаиси;Диаметр (R)=16|Ширина шины=170|Высота шины=65|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12359260_1.jpg;Диски и шины в комплекте
R15 TOYOTA Prius 2010-2015;ვაჟა;https://www.myparts.ge/ru/pr/12359272/;15.12.2023;600;995577610062;r15 კარგი საბურავებით თავისივე კალბაკებით თბილისშია;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 100|Диаметр (R)=15|Ширина шины=195|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1004/12359272_1.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359272_2.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359272_3.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359272_4.jpg,https://static.my.ge/myparts/photos/thumbs/1004/12359272_5.jpg;Диски и шины в комплекте
R18 BMW / CHEVROLET;კოტე;https://www.myparts.ge/ru/pr/12359282/;15.12.2023;2000;995598233933;R18.უსვარკი,ორიგინალი ultra wheels platinum 418 wraith ,იწარმოება კალიფორნიაში ჩინურ თურქულ ტაივანი არაა. ძალიან ხარისხიანი , რბილი და იშვიათი დისკებია;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Диаметр (R)=18|Ширина шины=225|Высота шины=40|Вылет (ET)=35 N|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359282_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359282_2.jpg;Диски и шины в комплекте
R18 BMW 330 1993-2012;Markus;https://www.myparts.ge/ru/pr/12359283/;15.12.2023;1623.12;995577440499;მე 3 სერიის იაპონური ორიგინალი დისკებია. იდეალურ მდგომარეობაშია, მსუბუქი და გამძლე. არაა დუბაის, ტაივანის და თურქული ერთჯერადი დისკები. საბურავებიც 2021 წლის მიშელინები აყენია იდეალურები. წინ 245/40 დაბუკან 255/35;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=8.5|Диаметр (R)=18|Ширина шины=255|Высота шины=35|Вылет (ET)=E 46|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359283_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359283_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359283_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359283_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359283_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359283_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359283_7.jpg;Диски и шины в комплекте
R16 HONDA Civic 2001-2023;გიო;https://www.myparts.ge/ru/pr/12359299/;15.12.2023;950;995595576444;Honda, toyota, და ბევრ იაპონურზე მიდის რომელსაც 5/114.3 გადახვრეტა აქვს;Грузия;Ахалцихе;Диаметр расположения крепежных отверстий (PCD)=5 X 114.3|Ширина (J)=7|Диаметр (R)=16|Ширина шины=215|Высота шины=45|Вылет (ET)=E 35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359299_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359299_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359299_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359299_4.jpg;Диски и шины в комплекте
R17 BMW 328 2008-2022;გიორგი;https://www.myparts.ge/ru/pr/12359313/;15.12.2023;500;995595019421;დისკები საბურავებით...;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=7.5|Диаметр (R)=17|Ширина шины=225|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359313_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359313_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359313_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359313_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359313_5.jpg;Диски и шины в комплекте
R16 MERCEDES-BENZ CLK 220 2002-2016;Ალეკო;https://www.myparts.ge/ru/pr/12359333/;15.12.2023;650;995577053860;Დისკები იდეალირია საბურავები გაჩირვებაში ერთ სეზონს გაქაჩავს;Грузия;Рустави;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=7.5|Диаметр (R)=16|Ширина шины=235|Высота шины=45|Вылет (ET)=35 N|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359333_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359333_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359333_3.jpg;Диски и шины в комплекте
R17 BMW X5 1963-2023;Shm;https://www.myparts.ge/ru/pr/12359337/;15.12.2023;100;995593982238;;Грузия;Тбилиси;Диаметр (R)=17|Ширина шины=235|Высота шины=75|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359337_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359337_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359337_3.jpg;Диски и шины в комплекте
R17 BMW 328 1984-2015;ბექა;https://www.myparts.ge/ru/pr/12359448/;15.12.2023;650;995555599404;იდეალური ამერიკული საბურავებით, მაქსიმუმ 1 თვის ნასიარულები თბილისში, ფასზე მოვრიგდებით;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=7.5|Диаметр (R)=17|Ширина шины=225|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359448_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359448_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359448_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359448_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359448_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359448_6.jpg;Диски и шины в комплекте
R19 FORD Escape 2013-2023;ლადო;https://www.myparts.ge/ru/pr/12359526/;15.12.2023;100;995551757117;დისკები და საბურავების კომპლექტი არის ძალიან კარგ მდგომარეობაში....ზედ აბნევია თითქმის ახალი 2022წლის გუდიარის ბრენდის საბურავები... აგრეთვე გვაქვს სათარგო საბურავი და18,17ზომის კომპლექტები ....წნევის სენსორები.. დისკის ლოგოები....;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 108|Ширина (J)=8|Диаметр (R)=19|Ширина шины=235|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359526_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_7.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_8.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_9.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_10.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359526_11.jpg;Диски и шины в комплекте
R17 FORD Fusion 2012-2023;ლადო;https://www.myparts.ge/ru/pr/12359542/;15.12.2023;100;995551757117;დისკები და საბურავები არის ძალიან კარგ მდგომარეობაში, აგრეთვე გვაქვს 18და19იანი ორიგინალი კომპლექტები... წნევის სენსორები და დისკის ლოგოები და დამატებითი საბურავი/ზაპასკა/,,,, გვაქვს წნევის სენსორები და დისკის ლოგოები...;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 108|Ширина (J)=7|Диаметр (R)=17|Ширина шины=235|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359542_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_7.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_8.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_9.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359542_10.jpg;Диски и шины в комплекте
R17 CHEVROLET / OPEL;ლადო;https://www.myparts.ge/ru/pr/12359546/;15.12.2023;100;995551757117;კომპლექტი არის ძალიან კარგ მდგომარეობაში.. გარდა ოპელის მიდის შერვოლე და სხვა მოდელებზე 5/105გადახვრეტით..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 105|Ширина (J)=7|Диаметр (R)=17|Ширина шины=215|Высота шины=60|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359546_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359546_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359546_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359546_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359546_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359546_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359546_7.jpg;Диски и шины в комплекте
R14 HONDA Civic 2000-2005;0;https://www.myparts.ge/ru/pr/12359600/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=14|Ширина шины=185|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359600_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359600_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359600_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359600_4.jpg;Диски и шины в комплекте
R19 FORD Focus / Fusion / Ranger / Escape / C-MAX;ლაშა;https://www.myparts.ge/ru/pr/12359605/;15.12.2023;15;995591191058;19 -იანი ორიგინალი დისკები FORD ESCAPE 2014, გავცვლი 18 ან 17 იან ორიგინალ დისკებში, ერთი ერთში ან თანხის დამატებით გააჩნია დისკებს. ჩემები არის ორიგინალი მონიკელებული არ არის ნასვარკი და განასწორები, ზოგიერთ ადგილას არის აქერცლილი და გაფხაჭნილი რაც ვიზუალურად შორიდან არ ეტყობა;Грузия;Тбилиси;Диаметр (R)=19|Ширина шины=235|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359605_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359605_2.jpg;Диски и шины в комплекте
R14 ARCFOX AS 2023;0;https://www.myparts.ge/ru/pr/12359607/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=14|Ширина шины=195|Высота шины=60|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359607_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359607_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359607_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359607_4.jpg;Диски и шины в комплекте
R14 NISSAN March 2002-2023;0;https://www.myparts.ge/ru/pr/12359612/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=14|Ширина шины=165|Высота шины=70|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359612_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359612_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359612_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359612_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359612_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359612_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359612_7.jpg;Диски и шины в комплекте
R15 FORD Fiesta 2000-2019;0;https://www.myparts.ge/ru/pr/12359619/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=15|Ширина шины=195|Высота шины=50|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359619_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_7.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_8.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_9.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359619_10.jpg;Диски и шины в комплекте
R19 MERCEDES-BENZ S 63 AMG 2021;გიორგი;https://www.myparts.ge/ru/pr/12359623/;15.12.2023;2705.20;995595242427;იდაელური დედამ-მამალი დისკები თავისი ზაფხულის საბურავებით კონტინენტალ სპორტ კონტაქტ 5.ტოპ სპიდის 1/5 სანტიმეტრის პლიანეცებით და თავისი ბოლტებით;Грузия;Тбилиси;Диаметр (R)=19|Ширина шины=285|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359623_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359623_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359623_3.jpg;Диски и шины в комплекте
R15 FORD Fiesta 2012-2019;0;https://www.myparts.ge/ru/pr/12359630/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=15|Ширина шины=195|Высота шины=55|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359630_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359630_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359630_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359630_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359630_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359630_6.jpg;Диски и шины в комплекте
R15 TOYOTA Hilux 2005-2023;0;https://www.myparts.ge/ru/pr/12359634/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=15|Ширина шины=205|Высота шины=70|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359634_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359634_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359634_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359634_4.jpg;Диски и шины в комплекте
R15 TOYOTA Land Cruiser 1995-1999;0;https://www.myparts.ge/ru/pr/12359636/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=15|Ширина шины=265|Высота шины=75|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359636_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359636_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359636_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359636_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359636_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359636_6.jpg;Диски и шины в комплекте
R16 HYUNDAI Elantra 2000-2010;0;https://www.myparts.ge/ru/pr/12359639/;15.12.2023;100;995571158297;რბილები უხაუროები, საბურავი არის მანევრირებადი, 80 000კმ მანძილის გავლის რესურსით, 16 სერთიპიკატის მატარებელი საბურავები ხარისხში. GMAIL: @ Premium class tires with Euro five standards. Soft tires, the tire is manoeuvrable, with a resource of 80,000 km, the quality of the tires with 16 certificates. GMAIL: @ Шины премиум-класса с нормами Евро пять. Мягкая резина, шина маневренная, с ресурсом 80 000 км, качество шин 16 сертификатов. GMAIL: @;Грузия;Тбилиси;Диаметр (R)=16|Ширина шины=195|Высота шины=55|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1005/12359639_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_7.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_8.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_9.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_10.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_11.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359639_12.jpg;Диски и шины в комплекте
